Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
11297277,Hard-Boiled Wonderland and the End of the World,Haruki Murakami,"Murakami, Haruki",,,,5,4.13,Vintage,Kindle Edition,416,2010,1985,4/18/2023,4/18/2023,,,read,,,,1,0
84713734,Silence: A Novel,Shūsaku Endō,"Endō, Shūsaku",,,,0,4.08,Lulu.com,Kindle Edition,238,2022,1966,,3/8/2023,currently-reading,currently-reading (#6),currently-reading,,,,1,0
57356972,Intimacies,Katie Kitamura,"Kitamura, Katie",,,,3,3.66,Riverhead Books,Kindle Edition,240,2021,2021,4/11/2023,3/29/2023,,,read,,,,1,0
36153880,"Rogue Protocol (The Murderbot Diaries, #3)",Martha Wells,"Wells, Martha",,,,0,4.27,Tordotcom,Kindle Edition,150,2018,2018,4/11/2023,4/1/2023,,,read,,,,1,0
50902716,A Children's Bible,Lydia Millet,"Millet, Lydia",,,,5,3.73,W. W. Norton & Company,Kindle Edition,225,2020,2020,3/29/2023,3/24/2023,,,read,,,,1,0
32934836,Fever Dream,Samanta Schweblin,"Schweblin, Samanta",Megan McDowell,,,3,3.73,Riverhead Books,Kindle Edition,192,2017,2014,3/24/2023,3/24/2023,,,read,,,,1,0
10327184,"Dance Dance Dance (The Rat Series, #4)",Haruki Murakami,"Murakami, Haruki",Alfred Birnbaum,,,0,4.05,Vintage,Kindle Edition,418,2010,1988,,3/23/2023,currently-reading,currently-reading (#7),currently-reading,,,,1,0
45754981,The Glass Hotel,Emily St. John Mandel,"Mandel, Emily St. John",,525521143,9.78053E+12,5,3.69,Alfred A. Knopf,Hardcover,307,2020,2020,4/1/2023,10/25/2022,,,read,,,,2,0
8437862,After the Quake,Haruki Murakami,"Murakami, Haruki",Jay Rubin,,,5,3.78,Vintage,Kindle Edition,162,2007,2000,3/17/2023,3/16/2023,,,read,,,,1,0
36223859,"Artificial Condition (The Murderbot Diaries, #2)",Martha Wells,"Wells, Martha",,,9.78125E+12,5,4.28,Tordotcom,Kindle Edition,149,2018,2018,3/16/2023,3/13/2023,,,read,,,,1,0
63153696,Dr. No,Percival Everett,"Everett, Percival",,,,5,3.7,Graywolf Press,Kindle Edition,257,2022,2022,3/12/2023,3/8/2023,,,read,,,,1,0
38472277,Severance,Ling  Ma,"Ma, Ling",,,,5,3.92,"Farrar, Straus and Giroux",Hardcover,293,2018,2018,3/8/2023,2/23/2023,,,read,,,,1,0
8264103,Piercing,Ryū Murakami,"Murakami, Ryū",,,,4,3.67,Penguin Books,Kindle Edition,196,,1994,2/21/2023,2/19/2023,,,read,,,,1,0
41814339,The Last,Hanna Jameson,"Jameson, Hanna",,,,0,3.53,Atria Books,Kindle Edition,353,2019,2019,,2/20/2023,currently-reading,currently-reading (#5),currently-reading,,,,1,0
33396171,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,"Wells, Martha",,,,5,4.16,Tordotcom,Kindle Edition,156,2017,2017,2/20/2023,2/17/2023,,,read,,,,1,0
32301946,Churchill and Orwell: The Fight for Freedom,Thomas E. Ricks,"Ricks, Thomas E.",,1594206139,9.78159E+12,0,4.06,Penguin Press,Hardcover,352,2017,2017,,2/19/2023,to-read,to-read (#3),to-read,,,,0,0
22522805,The Buried Giant,Kazuo Ishiguro,"Ishiguro, Kazuo",,030727103X,9.78031E+12,0,3.57,Alfred A. Knopf,Hardcover,317,2015,2015,,2/17/2023,to-read,to-read (#2),to-read,,,,0,0
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,059331817X,9.78059E+12,0,3.75,Alfred A. Knopf,Hardcover,303,2021,2021,,2/17/2023,to-read,to-read (#1),to-read,,,,0,0
6665847,"Daemon (Daemon, #1)",Daniel Suarez,"Suarez, Daniel",,451228731,9.78045E+12,4,4.16,Signet Books,Mass Market Paperback,632,2009,2006,,2/14/2023,,,read,,,,1,0
57753332,Bullet Train,Kōtarō Isaka,"Isaka, Kōtarō",Sam Malissa,1647003849,9.78165E+12,5,3.82,The Overlook Press,Kindle Edition,352,2021,2010,2/14/2023,2/14/2023,,,read,,,,1,0
8141568,Galápagos,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,,,0,3.87,The Dial Press,Kindle Edition,338,2009,1985,,1/23/2023,currently-reading,currently-reading (#4),currently-reading,,,,1,0
6588742,The Sirens of Titan,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,,,0,4.15,The Dial Press,Kindle Edition,338,2007,1959,,12/9/2022,currently-reading,currently-reading (#3),currently-reading,,,,1,0
53192116,Telephone,Percival Everett,"Everett, Percival",,,,4,3.97,Graywolf Press,Kindle Edition,233,2020,2004,11/11/2022,11/6/2022,,,read,,,,1,0
52301605,What's Left of Me Is Yours,Stephanie     Scott,"Scott, Stephanie",,,,3,3.76,Doubleday Books,Kindle Edition,336,2020,2020,11/6/2022,8/18/2022,,,read,,,,1,0
38213103,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,,,0,4.31,Hachette Book Group,Kindle Edition,355,2015,2015,,10/27/2022,currently-reading,currently-reading (#2),currently-reading,,,,1,0
58706017,Dinosaurs,Lydia Millet,"Millet, Lydia",,,,4,3.9,W.W. Norton,Kindle Edition,240,2022,2022,10/20/2022,10/20/2022,,,read,,,,1,0
9123100,"South of the Border, West of the Sun",Haruki Murakami,"Murakami, Haruki",,,,4,3.86,Vintage,Kindle Edition,224,2010,1992,10/20/2022,10/17/2022,,,read,,,,1,0
58186254,The Trees,Percival Everett,"Everett, Percival",,,,5,4.07,Graywolf Press,Kindle Edition,288,2021,2021,10/12/2022,10/10/2022,,,read,,,,1,0
60466860,All the Lovers in the Night,Mieko Kawakami,"Kawakami, Mieko","Sam Bett, David Boyd",,,4,3.75,Europa Editions,Kindle Edition,219,2022,2011,10/10/2022,6/26/2022,,,read,,,,1,0
45416596,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,,,5,4.43,Washington Square Press,Kindle Edition,398,2017,2017,10/3/2022,8/31/2022,,,read,,,,1,0
56665713,"Beautiful World, Where Are You",Sally Rooney,"Rooney, Sally",,,,5,3.54,"Farrar, Straus and Giroux",Kindle Edition,358,2021,2021,5/21/2022,2/24/2022,,,read,,,,1,0
58601245,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,,,5,4.09,Knopf,Kindle Edition,226,2022,2022,4/21/2022,4/7/2022,,,read,,,,3,0
36147578,Wave,Sonali Deraniyagala,"Deraniyagala, Sonali",,,,5,3.78,Vintage,Kindle Edition,274,2013,2013,3/24/2022,2/24/2022,,,read,,,,1,0
57016623,The Woman in the Purple Skirt,Natsuko Imamura,"Imamura, Natsuko",Lucy North,,,3,3.28,Penguin Books,Kindle Edition,222,2021,2019,12/14/2021,12/1/2021,,,read,,,,1,0
9123099,Norwegian Wood (Vintage International),Haruki Murakami,"Murakami, Haruki",Jay Rubin,,,4,4.02,Vintage,Kindle Edition,384,2010,1987,11/3/2021,10/13/2021,,,read,,,,1,0
54906250,Project Hail Mary,Andy Weir,"Weir, Andy",,,,0,4.51,Ballantine Books,Kindle Edition,481,2021,2021,,11/2/2021,currently-reading,currently-reading (#1),currently-reading,,,,1,0
53583567,Heaven,Mieko Kawakami,"Kawakami, Mieko",,,,4,3.81,Europa Editions,Kindle Edition,161,2021,2009,10/13/2021,10/8/2021,,,read,,,,1,0
